company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"King Cavity Wall Extraction","Mr Ben","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.87,9.7,10,9.9,10,1,"",Yes,No,Yes,"https://www.checkatrade.com/trades/kingcavitywallextraction",kingcavitywallextraction
"CT ECO Plus Limited","Mr. Martin Weaver","Insulation","the cost","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.7,9.7,9.6,9.8,119,5,"242727313",Yes,Yes,Yes,"https://www.checkatrade.com/trades/bidconnecterltd938170",bidconnecterltd938170
"JT Insulations","Mr. James Timbrell","Insulation","Essex","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.96,9.96,9.96,9.96,139,4,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/ajjsolutions",ajjsolutions
"Prestige Insulation","Mr Dalan","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.74,9.67,9.8,9.73,58,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/prestigeinsulation",prestigeinsulation
"SMART INSULATED RENDERS LIMITED","Mr. Stevie White","Insulation","Leigh on","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.84,,,,520,5,"342695091",Yes,Yes,Yes,"https://www.checkatrade.com/trades/smartinsulatedrenderslimited969074",smartinsulatedrenderslimited969074
"Saving Energy Ltd","Miss. Sam Fulker","Insulation","Wickford","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.53,9.56,9.64,9.64,584,11,"911893808",Yes,Yes,Yes,"https://www.checkatrade.com/trades/savingenergyltd",savingenergyltd
"Quality Render ltd","Mr. Daniel Tointon","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,10,10,10,31,5,"400503563",Yes,Yes,Yes,"https://www.checkatrade.com/trades/qualityrenderltd",qualityrenderltd
"MES Energy","Mr. Matthew Stott","Insulation","Folkestone Kent","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.86,9.88,9.98,9.95,130,5,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/mesenergy1023328",mesenergy1023328
"SAS Insulation","Mr Sam","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.67,9.5,9.75,9.75,17,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/sasinsulation",sasinsulation
"Viridian","Mr Alan","Insulation","Ashford","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.9,9.93,9.9,9.86,401,11,"117583604",Yes,Yes,Yes,"https://www.checkatrade.com/trades/viridian",viridian
"Horton Energy Ltd","Mr Colin","Insulation","Petts Wood","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.83,10,9.75,9.75,24,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/hortonenergyltd",hortonenergyltd
"Prize Insulation Limited","Mrs Lorraine","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,,,,18,9,"126277022",Yes,Yes,Yes,"https://www.checkatrade.com/trades/prizeinsultation",prizeinsultation
